playerName,fromClubName,toClubName,date,fee,currency,isLoan,sourceUrl
Eldor Shomurodov,FC Rostov,AS Roma,2021-08-02,,EUR,false,https://en.wikipedia.org/wiki/Eldor_Shomurodov
Jaloliddin Masharipov,Esteghlal FC,Panserraikos FC,2023-09-01,,EUR,false,https://en.wikipedia.org/wiki/Jaloliddin_Masharipov
