name,country,city,foundedYear,stadiumName,stadiumCapacity,aliases,honors
Pakhtakor Tashkent,Uzbekistan,Tashkent,1956,Pakhtakor Markaziy Stadium,35000,"Pakhtakor","Uzbek League Champions"
FC Nasaf,Uzbekistan,Karshi,1986,Markaziy Stadium,21000,"Nasaf Qarshi","AFC Cup Winners"
FC Bunyodkor,Uzbekistan,Tashkent,2005,Bunyodkor Stadium,34000,"Bunyodkor","Uzbek League Champions"
Lokomotiv Tashkent,Uzbekistan,Tashkent,2002,Lokomotiv Stadium,8000,"Lokomotiv","Uzbek League Champions"
Navbahor Namangan,Uzbekistan,Namangan,1978,Markaziy Stadium,22000,"Navbahor","Uzbek Cup Winners"
